hospital_name,state,measure_name,number_of_discharges,number_of_readmissions,excess_readmission_ratio,region_name
"WILLIAM BEAUMONT HOSPITAL-TROY",MI,READM-30-PN-HRRP,791,174,1.142,"Midwest Region"
"OAKWOOD HOSPITAL - TAYLOR",MI,READM-30-AMI-HRRP,65,17,0.9979,"Midwest Region"
"OAKWOOD HOSPITAL - TAYLOR",MI,READM-30-HF-HRRP,288,88,1.0382,"Midwest Region"
"OAKWOOD HOSPITAL - TAYLOR",MI,READM-30-PN-HRRP,380,95,1.0568,"Midwest Region"
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER",MI,READM-30-AMI-HRRP,140,38,1.0656,"Midwest Region"
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER",MI,READM-30-HF-HRRP,390,138,1.2112,"Midwest Region"
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER",MI,READM-30-PN-HRRP,160,28,0.9757,"Midwest Region"
"HURON VALLEY-SINAI HOSPITAL",MI,READM-30-AMI-HRRP,211,44,0.9756,"Midwest Region"
"HURON VALLEY-SINAI HOSPITAL",MI,READM-30-HF-HRRP,546,150,1.0867,"Midwest Region"
"HURON VALLEY-SINAI HOSPITAL",MI,READM-30-PN-HRRP,220,38,0.965,"Midwest Region"
"HENRY FORD WEST BLOOMFIELD HOSPITAL",MI,READM-30-AMI-HRRP,126,33,1.0722,"Midwest Region"
"HENRY FORD WEST BLOOMFIELD HOSPITAL",MI,READM-30-HF-HRRP,426,102,1.0022,"Midwest Region"
"HENRY FORD WEST BLOOMFIELD HOSPITAL",MI,READM-30-PN-HRRP,380,76,1.038,"Midwest Region"
"NORTH MEMORIAL MEDICAL CENTER",MN,READM-30-AMI-HRRP,219,25,0.8926,"Midwest Region"
"NORTH MEMORIAL MEDICAL CENTER",MN,READM-30-HF-HRRP,417,81,0.923,"Midwest Region"
"NORTH MEMORIAL MEDICAL CENTER",MN,READM-30-PN-HRRP,244,33,0.924,"Midwest Region"
"ESSENTIA HEALTH ST MARY'S MEDICAL CENTER",MN,READM-30-AMI-HRRP,627,76,0.8552,"Midwest Region"
"ESSENTIA HEALTH ST MARY'S MEDICAL CENTER",MN,READM-30-HF-HRRP,418,77,0.9174,"Midwest Region"
"ESSENTIA HEALTH ST MARY'S MEDICAL CENTER",MN,READM-30-PN-HRRP,300,55,1.0316,"Midwest Region"
"HENNEPIN COUNTY MEDICAL CENTER",MN,READM-30-HF-HRRP,167,49,1.0706,"Midwest Region"
"HENNEPIN COUNTY MEDICAL CENTER",MN,READM-30-PN-HRRP,140,36,1.0678,"Midwest Region"
"MAYO CLINIC HOSPITAL ROCHESTER",MN,READM-30-AMI-HRRP,767,99,0.8561,"Midwest Region"
"MAYO CLINIC HOSPITAL ROCHESTER",MN,READM-30-HF-HRRP,1379,274,0.9206,"Midwest Region"
"MAYO CLINIC HOSPITAL ROCHESTER",MN,READM-30-PN-HRRP,740,105,0.9024,"Midwest Region"
"NORTHFIELD HOSPITAL",MN,READM-30-HF-HRRP,80,18,1.0105,"Midwest Region"
"MAYO CLINIC HEALTH SYSTEM IN RED WING",MN,READM-30-HF-HRRP,70,14,0.9873,"Midwest Region"
"CAMBRIDGE MEDICAL CENTER",MN,READM-30-HF-HRRP,71,15,0.9835,"Midwest Region"
"SANFORD  WORTHINGTON MEDICAL CENTER",MN,READM-30-HF-HRRP,60,12,0.9991,"Midwest Region"
"DOUGLAS COUNTY HOSPITAL",MN,READM-30-HF-HRRP,95,12,0.9102,"Midwest Region"
"DOUGLAS COUNTY HOSPITAL",MN,READM-30-PN-HRRP,97,13,0.9626,"Midwest Region"
"ST CLOUD HOSPITAL",MN,READM-30-AMI-HRRP,479,55,0.8537,"Midwest Region"
"ST CLOUD HOSPITAL",MN,READM-30-HF-HRRP,788,159,0.9578,"Midwest Region"
"ST CLOUD HOSPITAL",MN,READM-30-PN-HRRP,483,88,1.0436,"Midwest Region"
"UNITED HOSPITAL",MN,READM-30-AMI-HRRP,296,44,0.9786,"Midwest Region"
"UNITED HOSPITAL",MN,READM-30-HF-HRRP,462,87,0.9255,"Midwest Region"
"UNITED HOSPITAL",MN,READM-30-PN-HRRP,260,39,0.9925,"Midwest Region"
"UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS",MN,READM-30-HF-HRRP,94,17,0.9838,"Midwest Region"
"UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS",MN,READM-30-PN-HRRP,146,24,1.0141,"Midwest Region"
"MAYO CLINIC HEALTH SYSTEM - ALBERT LEA",MN,READM-30-HF-HRRP,102,14,0.8876,"Midwest Region"
"MAYO CLINIC HEALTH SYSTEM - ALBERT LEA",MN,READM-30-PN-HRRP,211,25,0.9112,"Midwest Region"
"WINONA HEALTH SERVICES",MN,READM-30-HF-HRRP,135,23,0.9277,"Midwest Region"
"WINONA HEALTH SERVICES",MN,READM-30-PN-HRRP,238,42,1.0316,"Midwest Region"
"ST LUKES HOSPITAL",MN,READM-30-AMI-HRRP,218,30,0.9352,"Midwest Region"
"ST LUKES HOSPITAL",MN,READM-30-HF-HRRP,280,57,0.9546,"Midwest Region"
"ST LUKES HOSPITAL",MN,READM-30-PN-HRRP,254,39,0.9769,"Midwest Region"
"FAIRVIEW LAKES MEDICAL CENTER",MN,READM-30-HF-HRRP,114,20,0.9393,"Midwest Region"
"FAIRVIEW LAKES MEDICAL CENTER",MN,READM-30-PN-HRRP,65,13,1.0478,"Midwest Region"
"LAKE REGION HEALTHCARE CORPORATION",MN,READM-30-HF-HRRP,106,19,0.9784,"Midwest Region"
"LAKE REGION HEALTHCARE CORPORATION",MN,READM-30-PN-HRRP,137,17,0.9477,"Midwest Region"
"PARK NICOLLET METHODIST HOSPITAL",MN,READM-30-AMI-HRRP,252,37,0.9695,"Midwest Region"
"PARK NICOLLET METHODIST HOSPITAL",MN,READM-30-HF-HRRP,581,112,0.9218,"Midwest Region"
"PARK NICOLLET METHODIST HOSPITAL",MN,READM-30-PN-HRRP,533,97,1.0605,"Midwest Region"
"RIDGEVIEW MEDICAL CENTER",MN,READM-30-HF-HRRP,118,24,1.0008,"Midwest Region"
"RIDGEVIEW MEDICAL CENTER",MN,READM-30-PN-HRRP,135,22,1.0145,"Midwest Region"
"ABBOTT NORTHWESTERN HOSPITAL",MN,READM-30-AMI-HRRP,597,65,0.8256,"Midwest Region"
"ABBOTT NORTHWESTERN HOSPITAL",MN,READM-30-HF-HRRP,750,149,0.9068,"Midwest Region"
"ABBOTT NORTHWESTERN HOSPITAL",MN,READM-30-PN-HRRP,299,48,0.9579,"Midwest Region"
"REGINA HOSPITAL",MN,READM-30-HF-HRRP,73,17,1.0347,"Midwest Region"
"ST JOSEPH'S HOSPITAL",MN,READM-30-AMI-HRRP,290,43,0.926,"Midwest Region"
"ST JOSEPH'S HOSPITAL",MN,READM-30-HF-HRRP,309,46,0.8382,"Midwest Region"
"ST JOSEPH'S HOSPITAL",MN,READM-30-PN-HRRP,183,34,1.0474,"Midwest Region"
"GRAND ITASCA CLINIC AND HOSPITAL",MN,READM-30-PN-HRRP,144,17,0.9101,"Midwest Region"
"LAKEVIEW MEMORIAL HOSPITAL",MN,READM-30-HF-HRRP,77,11,0.9426,"Midwest Region"
"OWATONNA HOSPITAL",MN,READM-30-HF-HRRP,124,18,0.9044,"Midwest Region"
"OWATONNA HOSPITAL",MN,READM-30-PN-HRRP,113,13,0.9456,"Midwest Region"
"DISTRICT ONE HOSPITAL",MN,READM-30-HF-HRRP,72,14,0.971,"Midwest Region"
"DISTRICT ONE HOSPITAL",MN,READM-30-PN-HRRP,97,13,0.9552,"Midwest Region"
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER",MN,READM-30-AMI-HRRP,72,13,0.9939,"Midwest Region"
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER",MN,READM-30-HF-HRRP,225,62,1.1127,"Midwest Region"
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER",MN,READM-30-PN-HRRP,155,32,1.0695,"Midwest Region"
"BUFFALO HOSPITAL",MN,READM-30-HF-HRRP,88,21,1.0308,"Midwest Region"
"BUFFALO HOSPITAL",MN,READM-30-PN-HRRP,76,12,1.0006,"Midwest Region"
"FAIRVIEW SOUTHDALE HOSPITAL",MN,READM-30-AMI-HRRP,300,45,0.9782,"Midwest Region"
"FAIRVIEW SOUTHDALE HOSPITAL",MN,READM-30-HF-HRRP,419,72,0.8754,"Midwest Region"
"FAIRVIEW SOUTHDALE HOSPITAL",MN,READM-30-PN-HRRP,299,43,0.9605,"Midwest Region"
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",MN,READM-30-AMI-HRRP,123,19,0.965,"Midwest Region"
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",MN,READM-30-HF-HRRP,233,66,1.0672,"Midwest Region"
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",MN,READM-30-PN-HRRP,127,16,0.9042,"Midwest Region"
"ESSENTIA HEALTH VIRGINIA",MN,READM-30-PN-HRRP,66,11,1.0156,"Midwest Region"
"RICE MEMORIAL HOSPITAL",MN,READM-30-HF-HRRP,106,16,0.9351,"Midwest Region"
"RICE MEMORIAL HOSPITAL",MN,READM-30-PN-HRRP,186,22,0.9203,"Midwest Region"
"MAYO CLINIC HEALTH SYSTEM - MANKATO",MN,READM-30-AMI-HRRP,182,25,0.973,"Midwest Region"
"MAYO CLINIC HEALTH SYSTEM - MANKATO",MN,READM-30-HF-HRRP,286,38,0.8211,"Midwest Region"
"MAYO CLINIC HEALTH SYSTEM - MANKATO",MN,READM-30-PN-HRRP,228,41,1.0202,"Midwest Region"
"SANFORD BEMIDJI MEDICAL CENTER",MN,READM-30-HF-HRRP,139,20,0.8812,"Midwest Region"
"SANFORD BEMIDJI MEDICAL CENTER",MN,READM-30-PN-HRRP,186,30,0.9919,"Midwest Region"
"ST FRANCIS REGIONAL MEDICAL CENTER",MN,READM-30-HF-HRRP,106,27,1.0464,"Midwest Region"
"ST FRANCIS REGIONAL MEDICAL CENTER",MN,READM-30-PN-HRRP,137,20,0.9652,"Midwest Region"
"REGIONS HOSPITAL",MN,READM-30-AMI-HRRP,246,26,0.8725,"Midwest Region"
"REGIONS HOSPITAL",MN,READM-30-HF-HRRP,252,58,1.0117,"Midwest Region"
"REGIONS HOSPITAL",MN,READM-30-PN-HRRP,130,14,0.8995,"Midwest Region"
"MERCY HOSPITAL",MN,READM-30-AMI-HRRP,201,38,1.0875,"Midwest Region"
"MERCY HOSPITAL",MN,READM-30-HF-HRRP,371,72,0.9215,"Midwest Region"
"MERCY HOSPITAL",MN,READM-30-PN-HRRP,214,29,0.9043,"Midwest Region"
"UNITY HOSPITAL",MN,READM-30-HF-HRRP,196,42,0.99,"Midwest Region"
"UNITY HOSPITAL",MN,READM-30-PN-HRRP,170,35,1.0849,"Midwest Region"
"MAYO CLINIC HEALTH SYSTEM - FAIRMONT",MN,READM-30-HF-HRRP,154,53,1.2452,"Midwest Region"
"MAYO CLINIC HEALTH SYSTEM - FAIRMONT",MN,READM-30-PN-HRRP,187,32,1.0556,"Midwest Region"
"HUTCHINSON HEALTH",MN,READM-30-HF-HRRP,72,17,1.0335,"Midwest Region"
"FAIRVIEW RIDGES HOSPITAL",MN,READM-30-HF-HRRP,235,62,1.0936,"Midwest Region"
"FAIRVIEW RIDGES HOSPITAL",MN,READM-30-PN-HRRP,182,37,1.0894,"Midwest Region"
"HEALTHEAST ST JOHN'S HOSPITAL",MN,READM-30-AMI-HRRP,57,14,1.0392,"Midwest Region"
"HEALTHEAST ST JOHN'S HOSPITAL",MN,READM-30-HF-HRRP,248,56,1.0242,"Midwest Region"
"HEALTHEAST ST JOHN'S HOSPITAL",MN,READM-30-PN-HRRP,250,42,1.0273,"Midwest Region"
"HEALTHEAST WOODWINDS HOSPITAL",MN,READM-30-HF-HRRP,130,23,0.9471,"Midwest Region"
"HEALTHEAST WOODWINDS HOSPITAL",MN,READM-30-PN-HRRP,124,22,1.0216,"Midwest Region"
"UNIVERSITY OF MISSISSIPPI MED CENTER",MS,READM-30-AMI-HRRP,267,42,0.9931,"South Region"
"UNIVERSITY OF MISSISSIPPI MED CENTER",MS,READM-30-HF-HRRP,274,52,0.9511,"South Region"
"UNIVERSITY OF MISSISSIPPI MED CENTER",MS,READM-30-PN-HRRP,146,17,0.8926,"South Region"
"TISHOMINGO HEALTH SERVICES INC",MS,READM-30-HF-HRRP,80,16,0.9742,"South Region"
"TISHOMINGO HEALTH SERVICES INC",MS,READM-30-PN-HRRP,148,20,0.9376,"South Region"
"NORTH MISSISSIPPI MEDICAL CENTER",MS,READM-30-AMI-HRRP,734,113,0.9827,"South Region"
"NORTH MISSISSIPPI MEDICAL CENTER",MS,READM-30-HF-HRRP,1026,198,0.9316,"South Region"
"NORTH MISSISSIPPI MEDICAL CENTER",MS,READM-30-PN-HRRP,789,148,1.1071,"South Region"
"BAPTIST MEMORIAL HOSPITAL UNION COUNTY",MS,READM-30-HF-HRRP,162,35,1.0246,"South Region"
"BAPTIST MEMORIAL HOSPITAL UNION COUNTY",MS,READM-30-PN-HRRP,174,27,0.9963,"South Region"
"BILOXI REGIONAL MEDICAL CENTER",MS,READM-30-HF-HRRP,280,82,1.1667,"South Region"
"BILOXI REGIONAL MEDICAL CENTER",MS,READM-30-PN-HRRP,188,33,1.0265,"South Region"
"MAGNOLIA REGIONAL HEALTH CENTER",MS,READM-30-AMI-HRRP,306,47,0.9673,"South Region"
"MAGNOLIA REGIONAL HEALTH CENTER",MS,READM-30-HF-HRRP,539,143,1.1113,"South Region"
"MAGNOLIA REGIONAL HEALTH CENTER",MS,READM-30-PN-HRRP,480,110,1.1411,"South Region"
"TIPPAH COUNTY HOSPITAL",MS,READM-30-HF-HRRP,108,26,1.0516,"South Region"
"TIPPAH COUNTY HOSPITAL",MS,READM-30-PN-HRRP,152,30,1.0817,"South Region"
"ALLIANCE HEALTHCARE SYSTEM",MS,READM-30-HF-HRRP,68,16,1.0253,"South Region"
"ALLIANCE HEALTHCARE SYSTEM",MS,READM-30-PN-HRRP,68,15,1.0656,"South Region"
"GRENADA LAKE MEDICAL CENTER",MS,READM-30-HF-HRRP,158,38,1.0609,"South Region"
"GRENADA LAKE MEDICAL CENTER",MS,READM-30-PN-HRRP,134,19,0.9732,"South Region"
"TRACE REGIONAL HOSP AND SWING BED",MS,READM-30-HF-HRRP,62,19,1.0597,"South Region"
"TRACE REGIONAL HOSP AND SWING BED",MS,READM-30-PN-HRRP,108,20,1.0313,"South Region"
"MEMORIAL HOSPITAL AT GULFPORT",MS,READM-30-AMI-HRRP,433,81,1.0231,"South Region"
"MEMORIAL HOSPITAL AT GULFPORT",MS,READM-30-HF-HRRP,961,258,1.0786,"South Region"
"MEMORIAL HOSPITAL AT GULFPORT",MS,READM-30-PN-HRRP,459,92,1.009,"South Region"
"WEBSTER GENERAL HOSPITAL/SWING BED",MS,READM-30-HF-HRRP,141,29,0.9954,"South Region"
"WEBSTER GENERAL HOSPITAL/SWING BED",MS,READM-30-PN-HRRP,275,54,1.0926,"South Region"
"GILMORE MEMORIAL REGIONAL MEDICAL CENTER",MS,READM-30-HF-HRRP,182,42,1.064,"South Region"
"GILMORE MEMORIAL REGIONAL MEDICAL CENTER",MS,READM-30-PN-HRRP,199,27,0.9663,"South Region"
"WINSTON MEDICAL CENTER & SWINGBED",MS,READM-30-PN-HRRP,106,12,0.9617,"South Region"
"RIVER REGION HEALTH SYSTEM",MS,READM-30-AMI-HRRP,142,30,1.0831,"South Region"
"RIVER REGION HEALTH SYSTEM",MS,READM-30-HF-HRRP,473,105,0.9843,"South Region"
"RIVER REGION HEALTH SYSTEM",MS,READM-30-PN-HRRP,344,61,1.0424,"South Region"
"BAPTIST MEMORIAL HOSPITAL NORTH MS",MS,READM-30-AMI-HRRP,280,43,0.981,"South Region"
"BAPTIST MEMORIAL HOSPITAL NORTH MS",MS,READM-30-HF-HRRP,399,88,0.9782,"South Region"
"BAPTIST MEMORIAL HOSPITAL NORTH MS",MS,READM-30-PN-HRRP,379,76,1.0434,"South Region"
"GEORGE COUNTY HOSPITAL",MS,READM-30-HF-HRRP,121,22,0.9589,"South Region"
"GEORGE COUNTY HOSPITAL",MS,READM-30-PN-HRRP,116,18,0.9928,"South Region"
"MADISON RIVER OAKS MEDICAL CENTER",MS,READM-30-HF-HRRP,114,41,1.2383,"South Region"
"SINGING RIVER HOSPITAL",MS,READM-30-AMI-HRRP,435,80,1.0737,"South Region"
"SINGING RIVER HOSPITAL",MS,READM-30-HF-HRRP,822,213,1.1172,"South Region"
"SINGING RIVER HOSPITAL",MS,READM-30-PN-HRRP,576,134,1.1929,"South Region"
"NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER",MS,READM-30-AMI-HRRP,76,24,1.1481,"South Region"
"NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER",MS,READM-30-HF-HRRP,370,123,1.2922,"South Region"
"NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER",MS,READM-30-PN-HRRP,89,14,0.9969,"South Region"
"NESHOBA COUNTY GENERAL HOSPITAL",MS,READM-30-HF-HRRP,80,16,0.9869,"South Region"
"NESHOBA COUNTY GENERAL HOSPITAL",MS,READM-30-PN-HRRP,103,12,0.9554,"South Region"
"BAPTIST MEMORIAL HOSPITAL BOONEVILLE",MS,READM-30-HF-HRRP,129,26,0.9624,"South Region"
"BAPTIST MEMORIAL HOSPITAL BOONEVILLE",MS,READM-30-PN-HRRP,146,23,0.9717,"South Region"
"ST DOMINIC-JACKSON MEMORIAL HOSPITAL",MS,READM-30-AMI-HRRP,601,93,0.9887,"South Region"
"ST DOMINIC-JACKSON MEMORIAL HOSPITAL",MS,READM-30-HF-HRRP,1173,258,1.0092,"South Region"
"ST DOMINIC-JACKSON MEMORIAL HOSPITAL",MS,READM-30-PN-HRRP,775,136,1.0161,"South Region"
"BEACHAM MEMORIAL HOSPITAL",MS,READM-30-HF-HRRP,77,25,1.1289,"South Region"
"BEACHAM MEMORIAL HOSPITAL",MS,READM-30-PN-HRRP,167,34,1.058,"South Region"
"OCH REGIONAL MEDICAL CENTER",MS,READM-30-HF-HRRP,95,20,1.025,"South Region"
"OCH REGIONAL MEDICAL CENTER",MS,READM-30-PN-HRRP,167,33,1.1066,"South Region"
"KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN",MS,READM-30-HF-HRRP,201,48,1.0413,"South Region"
"KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN",MS,READM-30-PN-HRRP,243,39,0.993,"South Region"
"SOUTH CENTRAL REG MED CTR",MS,READM-30-AMI-HRRP,47,13,1.0802,"South Region"
"SOUTH CENTRAL REG MED CTR",MS,READM-30-HF-HRRP,350,70,0.9699,"South Region"
"SOUTH CENTRAL REG MED CTR",MS,READM-30-PN-HRRP,464,83,1.0337,"South Region"
"MONTFORT JONES MEMORIAL HOSPITAL",MS,READM-30-HF-HRRP,135,35,1.0853,"South Region"
"MONTFORT JONES MEMORIAL HOSPITAL",MS,READM-30-PN-HRRP,182,28,0.9899,"South Region"
"YALOBUSHA GENERAL HOSPITAL",MS,READM-30-HF-HRRP,82,20,1.0398,"South Region"
"YALOBUSHA GENERAL HOSPITAL",MS,READM-30-PN-HRRP,82,14,0.9952,"South Region"
"CLAY COUNTY MEDICAL CENTER",MS,READM-30-HF-HRRP,193,45,1.0821,"South Region"
"CLAY COUNTY MEDICAL CENTER",MS,READM-30-PN-HRRP,137,12,0.9002,"South Region"
"RUSH FOUNDATION HOSPITAL",MS,READM-30-HF-HRRP,236,47,0.9427,"South Region"
"RUSH FOUNDATION HOSPITAL",MS,READM-30-PN-HRRP,191,20,0.8899,"South Region"
"CENTRAL MISSISSIPPI MEDICAL CENTER",MS,READM-30-AMI-HRRP,92,20,1.0386,"South Region"
"CENTRAL MISSISSIPPI MEDICAL CENTER",MS,READM-30-HF-HRRP,225,57,1.0552,"South Region"
"CENTRAL MISSISSIPPI MEDICAL CENTER",MS,READM-30-PN-HRRP,162,36,1.0874,"South Region"
"WAYNE GENERAL HOSPITAL",MS,READM-30-HF-HRRP,164,36,1.0258,"South Region"
"WAYNE GENERAL HOSPITAL",MS,READM-30-PN-HRRP,177,29,1.0173,"South Region"
"FORREST GENERAL HOSPITAL",MS,READM-30-AMI-HRRP,542,88,1.0307,"South Region"
"FORREST GENERAL HOSPITAL",MS,READM-30-HF-HRRP,950,250,1.1078,"South Region"
"FORREST GENERAL HOSPITAL",MS,READM-30-PN-HRRP,717,131,1.0303,"South Region"
"SHARKEY ISSAQUENA COMMUNITY HOSPITAL",MS,READM-30-HF-HRRP,48,11,1.0186,"South Region"
"ANDERSON RMC SOUTH",MS,READM-30-HF-HRRP,141,28,0.9613,"South Region"
"ANDERSON RMC SOUTH",MS,READM-30-PN-HRRP,96,15,0.9901,"South Region"
"DELTA REGIONAL MEDICAL CENTER",MS,READM-30-AMI-HRRP,157,33,1.0445,"South Region"
"DELTA REGIONAL MEDICAL CENTER",MS,READM-30-HF-HRRP,490,102,0.9799,"South Region"
"DELTA REGIONAL MEDICAL CENTER",MS,READM-30-PN-HRRP,196,31,0.9964,"South Region"
"NATCHEZ REGIONAL MEDICAL CENTER",MS,READM-30-HF-HRRP,165,31,0.9807,"South Region"
"NATCHEZ REGIONAL MEDICAL CENTER",MS,READM-30-PN-HRRP,226,37,1.0215,"South Region"
"MARION GENERAL HOSPITAL",MS,READM-30-HF-HRRP,107,28,1.0681,"South Region"
"MARION GENERAL HOSPITAL",MS,READM-30-PN-HRRP,141,19,0.9616,"South Region"
"BOLIVAR MEDICAL CENTER",MS,READM-30-HF-HRRP,335,100,1.2267,"South Region"
"BOLIVAR MEDICAL CENTER",MS,READM-30-PN-HRRP,134,30,1.1085,"South Region"
"WESLEY MEDICAL CENTER",MS,READM-30-AMI-HRRP,156,27,1.0215,"South Region"
"WESLEY MEDICAL CENTER",MS,READM-30-HF-HRRP,362,92,1.0684,"South Region"
"WESLEY MEDICAL CENTER",MS,READM-30-PN-HRRP,294,50,1.0012,"South Region"
"SOUTH SUNFLOWER COUNTY HOSPITAL",MS,READM-30-HF-HRRP,103,24,1.0207,"South Region"
"SOUTH SUNFLOWER COUNTY HOSPITAL",MS,READM-30-PN-HRRP,73,14,1.0283,"South Region"
"CROSSGATES RIVER OAKS HOSPITAL",MS,READM-30-HF-HRRP,185,46,1.0563,"South Region"
"CROSSGATES RIVER OAKS HOSPITAL",MS,READM-30-PN-HRRP,178,25,0.9559,"South Region"
"SOUTHWEST MS REGIONAL MEDICAL CENTER",MS,READM-30-AMI-HRRP,175,26,0.9877,"South Region"
"SOUTHWEST MS REGIONAL MEDICAL CENTER",MS,READM-30-HF-HRRP,346,86,1.0853,"South Region"
"SOUTHWEST MS REGIONAL MEDICAL CENTER",MS,READM-30-PN-HRRP,282,50,1.0266,"South Region"
"GREENWOOD LEFLORE HOSPITAL",MS,READM-30-AMI-HRRP,119,35,1.113,"South Region"
"GREENWOOD LEFLORE HOSPITAL",MS,READM-30-HF-HRRP,364,88,1.0507,"South Region"
"GREENWOOD LEFLORE HOSPITAL",MS,READM-30-PN-HRRP,182,27,0.9703,"South Region"
"BAPTIST MEM HOSP/GOLDEN TRIANGLE INC",MS,READM-30-AMI-HRRP,120,16,0.9435,"South Region"
"BAPTIST MEM HOSP/GOLDEN TRIANGLE INC",MS,READM-30-HF-HRRP,242,41,0.9158,"South Region"
"BAPTIST MEM HOSP/GOLDEN TRIANGLE INC",MS,READM-30-PN-HRRP,351,42,0.8555,"South Region"
"MISSISSIPPI BAPTIST MEDICAL CENTER",MS,READM-30-AMI-HRRP,320,56,1.0396,"South Region"
"MISSISSIPPI BAPTIST MEDICAL CENTER",MS,READM-30-HF-HRRP,801,181,1.036,"South Region"
"MISSISSIPPI BAPTIST MEDICAL CENTER",MS,READM-30-PN-HRRP,812,161,1.142,"South Region"
"ANDERSON REGIONAL MEDICAL CTR",MS,READM-30-AMI-HRRP,270,38,0.936,"South Region"
"ANDERSON REGIONAL MEDICAL CTR",MS,READM-30-HF-HRRP,604,126,0.9547,"South Region"
"ANDERSON REGIONAL MEDICAL CTR",MS,READM-30-PN-HRRP,652,100,0.9461,"South Region"
"HIGHLAND COMMUNITY  HOSPITAL",MS,READM-30-HF-HRRP,144,46,1.1623,"South Region"
"HIGHLAND COMMUNITY  HOSPITAL",MS,READM-30-PN-HRRP,182,40,1.1367,"South Region"
"NATCHEZ COMMUNITY HOSPITAL",MS,READM-30-AMI-HRRP,57,15,1.0802,"South Region"
"NATCHEZ COMMUNITY HOSPITAL",MS,READM-30-HF-HRRP,253,58,1.072,"South Region"
"NATCHEZ COMMUNITY HOSPITAL",MS,READM-30-PN-HRRP,217,41,1.1023,"South Region"
"GARDEN PARK MEDICAL CENTER",MS,READM-30-HF-HRRP,168,41,1.0417,"South Region"
"GARDEN PARK MEDICAL CENTER",MS,READM-30-PN-HRRP,115,28,1.1162,"South Region"
"MAGEE GENERAL HOSPITAL",MS,READM-30-HF-HRRP,197,46,1.065,"South Region"
"MAGEE GENERAL HOSPITAL",MS,READM-30-PN-HRRP,325,48,1.0171,"South Region"
"NORTH OAK REGIONAL MEDICAL CENTER",MS,READM-30-HF-HRRP,59,25,1.1537,"South Region"
"NORTH OAK REGIONAL MEDICAL CENTER",MS,READM-30-PN-HRRP,83,20,1.0461,"South Region"
"TRI LAKES MEDICAL CENTER",MS,READM-30-HF-HRRP,107,29,1.0679,"South Region"
"TRI LAKES MEDICAL CENTER",MS,READM-30-PN-HRRP,156,26,0.9902,"South Region"
"RIVER OAKS HOSPITAL",MS,READM-30-HF-HRRP,111,34,1.1141,"South Region"
"RIVER OAKS HOSPITAL",MS,READM-30-PN-HRRP,109,14,0.9601,"South Region"
"BAPTIST MEMORIAL HOSPITAL DESOTO",MS,READM-30-AMI-HRRP,556,116,1.1584,"South Region"
"BAPTIST MEMORIAL HOSPITAL DESOTO",MS,READM-30-HF-HRRP,849,200,1.0414,"South Region"
"BAPTIST MEMORIAL HOSPITAL DESOTO",MS,READM-30-PN-HRRP,638,139,1.1829,"South Region"
"HANCOCK MEDICAL CENTER",MS,READM-30-HF-HRRP,119,34,1.0814,"South Region"
"HANCOCK MEDICAL CENTER",MS,READM-30-PN-HRRP,168,30,1.016,"South Region"
"MERCY HOSPITAL JOPLIN",MO,READM-30-AMI-HRRP,290,61,1.1577,"Midwest Region"
"MERCY HOSPITAL JOPLIN",MO,READM-30-HF-HRRP,434,104,1.0136,"Midwest Region"
"MERCY HOSPITAL JOPLIN",MO,READM-30-PN-HRRP,463,94,1.073,"Midwest Region"
"COOPER COUNTY MEMORIAL HOSPITAL",MO,READM-30-PN-HRRP,92,11,0.9613,"Midwest Region"
"SSM ST JOSEPH HEALTH CENTER",MO,READM-30-AMI-HRRP,232,46,1.0703,"Midwest Region"
"SSM ST JOSEPH HEALTH CENTER",MO,READM-30-HF-HRRP,370,86,1.032,"Midwest Region"
"SSM ST JOSEPH HEALTH CENTER",MO,READM-30-PN-HRRP,278,52,1.0014,"Midwest Region"
"HEARTLAND REGIONAL MEDICAL CENTER",MO,READM-30-AMI-HRRP,519,87,0.9891,"Midwest Region"
"HEARTLAND REGIONAL MEDICAL CENTER",MO,READM-30-HF-HRRP,827,189,1.0115,"Midwest Region"
"HEARTLAND REGIONAL MEDICAL CENTER",MO,READM-30-PN-HRRP,956,184,1.0448,"Midwest Region"
"BOTHWELL REGIONAL HEALTH CENTER",MO,READM-30-AMI-HRRP,74,11,0.924,"Midwest Region"
"BOTHWELL REGIONAL HEALTH CENTER",MO,READM-30-HF-HRRP,362,88,1.074,"Midwest Region"
